x___2,流域平均累加雨量,最大降雨強度,継続時間,台風直接時間,台風間接時間,前線時間,線状降水帯時間,開始,終了,SST,アンサンブル,開始時刻,終了時刻,DynamicCluster,開始年,開始月,開始日,開始時,終了年,終了月,終了日,終了時,rain_time,rain_space
48_39,31.6,3.56,61.5,0,0,NaN,0,698608,698730,HPB,70,1990-11-06 07:30:00,1990-11-08 20:30:00,NaN,1990,11,6,6,1990,11,8,18,1,2
49_39,59.43,4.41,22.5,1.5,15.5,NaN,0,712864,712908,HPB,70,1991-08-30 07:30:00,1991-08-31 05:30:00,NaN,1991,8,30,6,1991,8,31,6,3,1
50_39,43.28,3.85,58,33,33,NaN,0,728439,728554,HPB,70,1992-07-19 19:00:00,1992-07-22 04:30:00,NaN,1992,7,19,18,1992,7,22,6,2,8
51_39,37.72,1.47,61,0,0,NaN,0,747938,748059,HPB,70,1993-08-30 00:30:00,1993-09-01 13:00:00,NaN,1993,8,30,0,1993,9,1,12,2,8
52_39,48.92,3.14,55.5,0,0,NaN,0,748449,748559,HPB,70,1993-09-09 16:00:00,1993-09-11 23:00:00,NaN,1993,9,9,18,1993,9,12,0,2,8
53_39,61.09,2.19,86.5,0,28.5,NaN,0,765317,765489,HPB,70,1994-08-27 02:00:00,1994-08-30 16:00:00,NaN,1994,8,27,0,1994,8,30,18,2,2
54_39,22.545,2.47,25,0,0,NaN,0,782968,783017,HPB,70,1995-08-29 19:30:00,1995-08-30 20:00:00,NaN,1995,8,29,18,1995,8,30,18,1,9
55_39,22.555,1.79,41.5,0,0,NaN,0,821303,821385,HPB,70,1997-11-05 11:00:00,1997-11-07 04:00:00,NaN,1997,11,5,12,1997,11,7,6,2,8
56_39,29.445,2.57,67.5,14,33,NaN,0,835084,835218,HPB,70,1998-08-19 13:30:00,1998-08-22 08:30:00,NaN,1998,8,19,12,1998,8,22,6,2,3
57_39,46.03,7.39,36,26,29,NaN,0,886823,886894,HPB,70,2001-08-01 11:00:00,2001-08-02 22:30:00,NaN,2001,8,1,12,2001,8,3,0,1,9
58_39,44.245,11.12,23.5,0,0,NaN,0,887103,887149,HPB,70,2001-08-07 07:00:00,2001-08-08 06:00:00,NaN,2001,8,7,6,2001,8,8,6,1,9
59_39,30.725,3.93,22.5,0,0,NaN,0,907639,907683,HPB,70,2002-10-09 03:00:00,2002-10-10 01:00:00,NaN,2002,10,9,6,2002,10,10,0,3,6
60_39,72.32,3.57,82,0,0,NaN,0,924914,925077,HPB,70,2003-10-04 00:30:00,2003-10-07 10:00:00,NaN,2003,10,4,0,2003,10,7,12,2,8
61_39,59.83,4.94,46,0,7,NaN,0,958512,958603,HPB,70,2005-09-02 23:30:00,2005-09-04 21:00:00,NaN,2005,9,3,0,2005,9,5,0,3,1
62_39,93.14,4.82,81.5,0,0,NaN,0,974608,974770,HPB,70,2006-08-04 07:30:00,2006-08-07 16:30:00,NaN,2006,8,4,6,2006,8,7,18,2,1
63_39,61.32,5.77,62.5,0,0,NaN,0,993996,994120,HPB,70,2007-09-12 05:30:00,2007-09-14 19:30:00,NaN,2007,9,12,6,2007,9,14,18,3,6
64_36,23.76,1.88,63.5,0,0,NaN,0,1008169,1008295,HPB,70,2008-07-03 12:00:00,2008-07-06 03:00:00,NaN,2008,7,3,12,2008,7,6,6,3,9
65_35,35.055,3.18,90.5,0,0,NaN,0,1008439,1008619,HPB,70,2008-07-09 03:00:00,2008-07-12 21:00:00,NaN,2008,7,9,6,2008,7,13,0,3,9
66_31,72.205,8.63,50,23,23,NaN,0,1028029,1028128,HPB,70,2009-08-21 06:00:00,2009-08-23 07:30:00,NaN,2009,8,21,6,2009,8,23,6,3,6
67_30,29.575,3.56,33.5,0,0,NaN,0,1048622,1048688,HPB,70,2010-10-24 06:30:00,2010-10-25 15:30:00,NaN,2010,10,24,6,2010,10,25,18,1,8
1_40,31.855,2.64,53.5,0,0,NaN,0,14655,14761,HPB,81,1951-11-02 07:00:00,1951-11-04 12:00:00,NaN,1951,11,2,6,1951,11,4,12,3,9
2_40,40.795,2.2,65.5,0,0,NaN,0,27462,27592,HPB,81,1952-07-26 02:30:00,1952-07-28 19:30:00,NaN,1952,7,26,0,1952,7,28,18,2,1
3_40,20.85,1.89,39,0,0,NaN,0,50122,50199,HPB,81,1953-11-10 04:30:00,1953-11-11 19:00:00,NaN,1953,11,10,6,1953,11,11,18,3,8
4_40,33.255,3.01,46.5,0,46.5,NaN,0,64851,64943,HPB,81,1954-09-13 01:00:00,1954-09-14 23:00:00,NaN,1954,9,13,0,1954,9,15,0,3,6
5_40,20.245,1.78,66,0,0,NaN,0,65082,65213,HPB,81,1954-09-17 20:30:00,1954-09-20 14:00:00,NaN,1954,9,17,18,1954,9,20,12,3,6
6_40,60.905,5.55,61.5,0,17,NaN,0,65276,65398,HPB,81,1954-09-21 21:30:00,1954-09-24 10:30:00,NaN,1954,9,22,0,1954,9,24,12,3,6
7_40,22.53,1.71,43.5,0,0,NaN,0,81257,81343,HPB,81,1955-08-20 20:00:00,1955-08-22 15:00:00,NaN,1955,8,20,18,1955,8,22,18,2,6
8_40,45.07,3.75,53,0,0,NaN,0,81576,81681,HPB,81,1955-08-27 11:30:00,1955-08-29 16:00:00,NaN,1955,8,27,12,1955,8,29,18,2,6
9_40,32.51,4.05,61,0,0,NaN,0,101264,101385,HPB,81,1956-10-10 15:30:00,1956-10-13 04:00:00,NaN,1956,10,10,18,1956,10,13,6,3,5
10_40,49.485,5.1,31.5,0,0,NaN,0,101520,101582,HPB,81,1956-10-15 23:30:00,1956-10-17 06:30:00,NaN,1956,10,16,0,1956,10,17,6,3,5
11_40,26.245,1.74,53,0,0,NaN,0,119938,120043,HPB,81,1957-11-03 16:30:00,1957-11-05 21:00:00,NaN,1957,11,3,18,1957,11,6,0,2,8
12_40,25.03,2.46,29.5,0,0,NaN,0,135302,135360,HPB,81,1958-09-19 18:30:00,1958-09-20 23:30:00,NaN,1958,9,19,18,1958,9,21,0,1,6
13_40,54.11,4.03,66.5,47,19.5,NaN,0,150146,150278,HPB,81,1959-07-26 00:30:00,1959-07-28 18:30:00,NaN,1959,7,26,0,1959,7,28,18,3,9
14_40,34.765,4.73,56.5,0,0,NaN,0,172406,172518,HPB,81,1960-10-31 18:30:00,1960-11-03 02:30:00,NaN,1960,10,31,18,1960,11,3,0,1,7
15_40,38.63,4.53,79,0,58.5,NaN,0,185357,185514,HPB,81,1961-07-28 14:00:00,1961-07-31 20:30:00,NaN,1961,7,28,12,1961,7,31,18,2,6
16_40,23.85,3.53,68,9.5,4.5,NaN,0,185530,185665,HPB,81,1961-08-01 04:30:00,1961-08-04 00:00:00,NaN,1961,8,1,6,1961,8,4,0,2,6
17_40,26.595,2.86,28.5,0,0,NaN,0,207354,207410,HPB,81,1962-10-29 20:30:00,1962-10-31 00:30:00,NaN,1962,10,29,18,1962,10,31,0,2,1
18_40,21.8,1.74,124.5,0,0,NaN,0,225186,225434,HPB,81,1963-11-05 08:30:00,1963-11-10 12:30:00,NaN,1963,11,5,6,1963,11,10,12,1,2
19_40,40.36,5.29,101,0,0,NaN,0,225511,225712,HPB,81,1963-11-12 03:00:00,1963-11-16 07:30:00,NaN,1963,11,12,6,1963,11,16,6,1,2
20_40,44.01,2.59,74,0,37,NaN,0,238795,238942,HPB,81,1964-08-14 21:00:00,1964-08-17 22:30:00,NaN,1964,8,15,0,1964,8,18,0,2,8
21_40,68.405,5.42,39.5,22.5,17,NaN,0,256418,256496,HPB,81,1965-08-17 00:30:00,1965-08-18 15:30:00,NaN,1965,8,17,0,1965,8,18,18,3,6
22_40,26.16,1.62,76,0,0,NaN,0,277604,277755,HPB,81,1966-11-01 09:30:00,1966-11-04 13:00:00,NaN,1966,11,1,12,1966,11,4,12,3,4
23_40,58.17,5.01,117,0,0,NaN,0,291330,291563,HPB,81,1967-08-14 08:30:00,1967-08-19 05:00:00,NaN,1967,8,14,6,1967,8,19,6,2,6
24_40,20.64,3.09,19.5,0,0,NaN,0,310776,310814,HPB,81,1968-09-22 11:30:00,1968-09-23 06:30:00,NaN,1968,9,22,12,1968,9,23,6,1,2
25_40,39.91,3.84,38,28,10,NaN,0,327012,327087,HPB,81,1969-08-26 17:30:00,1969-08-28 07:00:00,NaN,1969,8,26,18,1969,8,28,6,1,9
26_40,32.94,2.38,40,0,0,NaN,0,345306,345385,HPB,81,1970-09-11 20:30:00,1970-09-13 12:00:00,NaN,1970,9,11,18,1970,9,13,12,3,5
27_40,29.37,2.79,50.5,0,0,NaN,0,362562,362662,HPB,81,1971-09-06 08:30:00,1971-09-08 10:30:00,NaN,1971,9,6,6,1971,9,8,12,1,6
28_40,36.93,4.72,33.5,9.5,24,NaN,0,362727,362793,HPB,81,1971-09-09 19:00:00,1971-09-11 04:00:00,NaN,1971,9,9,18,1971,9,11,6,1,6
29_40,21.57,2.44,30.5,0,0,NaN,0,381348,381408,HPB,81,1972-10-01 17:30:00,1972-10-02 23:30:00,NaN,1972,10,1,18,1972,10,3,0,3,9
30_40,62.605,4.88,33,0,0,NaN,0,398980,399045,HPB,81,1973-10-04 01:30:00,1973-10-05 10:00:00,NaN,1973,10,4,0,1973,10,5,12,3,2
31_40,26.995,1.38,97.5,0,0,NaN,0,416017,416211,HPB,81,1974-09-24 00:00:00,1974-09-28 01:00:00,NaN,1974,9,24,0,1974,9,28,0,2,9
32_40,26.035,3.4,23.5,0,0,NaN,0,433166,433212,HPB,81,1975-09-16 06:30:00,1975-09-17 05:30:00,NaN,1975,9,16,6,1975,9,17,6,2,2
33_40,44.755,1.98,54.5,0,0,NaN,0,433524,433632,HPB,81,1975-09-23 17:30:00,1975-09-25 23:30:00,NaN,1975,9,23,18,1975,9,26,0,2,2
34_40,37.17,2.15,55,0,0,NaN,0,468108,468217,HPB,81,1977-09-13 05:30:00,1977-09-15 12:00:00,NaN,1977,9,13,6,1977,9,15,12,2,10
35_40,40.56,2.29,39,0,0,NaN,0,485834,485911,HPB,81,1978-09-17 12:30:00,1978-09-19 03:00:00,NaN,1978,9,17,12,1978,9,19,6,3,8
36_40,46.51,4.69,50,12.5,30,NaN,0,485977,486076,HPB,81,1978-09-20 12:00:00,1978-09-22 13:30:00,NaN,1978,9,20,12,1978,9,22,12,3,8
37_40,31.325,4.82,49,0,0,NaN,0,504760,504857,HPB,81,1979-10-16 19:30:00,1979-10-18 20:00:00,NaN,1979,10,16,18,1979,10,18,18,1,2
38_40,69.68,3.06,49,0,0,NaN,0,520502,520599,HPB,81,1980-09-08 18:30:00,1980-09-10 19:00:00,NaN,1980,9,8,18,1980,9,10,18,2,6
39_40,35.675,2.79,32,0,4.5,NaN,0,539055,539118,HPB,81,1981-09-30 07:00:00,1981-10-01 14:30:00,NaN,1981,9,30,6,1981,10,1,12,3,8
40_40,31.335,4.98,21.5,0,0,NaN,0,555928,555970,HPB,81,1982-09-16 19:30:00,1982-09-17 16:30:00,NaN,1982,9,16,18,1982,9,17,18,1,2
41_40,69.77,7.85,38,3.5,14.5,NaN,0,573423,573498,HPB,81,1983-09-16 07:00:00,1983-09-17 20:30:00,NaN,1983,9,16,6,1983,9,17,18,1,8
42_40,29.845,7.1,41,0,0,NaN,0,588942,589023,HPB,81,1984-08-04 14:30:00,1984-08-06 07:00:00,NaN,1984,8,4,12,1984,8,6,6,1,1
43_40,24.065,4.12,20.5,0,0,NaN,0,609670,609710,HPB,81,1985-10-10 10:30:00,1985-10-11 06:30:00,NaN,1985,10,10,12,1985,10,11,6,3,6
44_40,31.805,2.59,29,25,4,NaN,0,609896,609953,HPB,81,1985-10-15 03:30:00,1985-10-16 08:00:00,NaN,1985,10,15,6,1985,10,16,6,3,6
45_40,51.99,6.17,48.5,31.5,17,NaN,0,622547,622643,HPB,81,1986-07-05 17:00:00,1986-07-07 17:00:00,NaN,1986,7,5,18,1986,7,7,18,3,9
46_40,22.725,4.53,31,0,0,NaN,0,641824,641885,HPB,81,1987-08-11 07:30:00,1987-08-12 14:00:00,NaN,1987,8,11,6,1987,8,12,12,2,2
47_40,51.275,2.42,54.5,0,0,NaN,0,642318,642426,HPB,81,1987-08-21 14:30:00,1987-08-23 20:30:00,NaN,1987,8,21,12,1987,8,23,18,2,2
48_40,36.73,4.2,46.5,22,24.5,NaN,0,660183,660275,HPB,81,1988-08-27 19:00:00,1988-08-29 17:00:00,NaN,1988,8,27,18,1988,8,29,18,3,1
49_40,20.63,1.36,48,33.5,14.5,NaN,0,676412,676507,HPB,81,1989-07-31 21:30:00,1989-08-02 21:00:00,NaN,1989,8,1,0,1989,8,3,0,2,9
50_40,39.41,5.04,81.5,0,0,NaN,0,698445,698607,HPB,81,1990-11-02 22:00:00,1990-11-06 07:00:00,NaN,1990,11,3,0,1990,11,6,6,1,2
51_40,36.2,2.05,72,33,39,NaN,0,713787,713930,HPB,81,1991-09-18 13:00:00,1991-09-21 12:30:00,NaN,1991,9,18,12,1991,9,21,12,2,8
52_40,30.545,2.51,117,0,0,NaN,0,734360,734593,HPB,81,1992-11-20 03:30:00,1992-11-25 00:00:00,NaN,1992,11,20,6,1992,11,25,0,3,5
53_40,23.465,3.64,19.5,0,19.5,NaN,0,747881,747919,HPB,81,1993-08-28 20:00:00,1993-08-29 15:00:00,NaN,1993,8,28,18,1993,8,29,18,2,9
54_40,24.705,4.43,48.5,0,0,NaN,0,763684,763780,HPB,81,1994-07-24 01:30:00,1994-07-26 01:30:00,NaN,1994,7,24,0,1994,7,26,0,1,7
55_40,38.52,3.51,85,0,0,NaN,0,786628,786797,HPB,81,1995-11-14 01:30:00,1995-11-17 14:00:00,NaN,1995,11,14,0,1995,11,17,12,3,6
56_40,38.85,3.4,91.5,28,56,NaN,0,804093,804275,HPB,81,1996-11-11 22:00:00,1996-11-15 17:00:00,NaN,1996,11,12,0,1996,11,15,18,3,8
57_40,53.53,2.42,66.5,2,75,NaN,0,819534,819666,HPB,81,1997-09-29 14:30:00,1997-10-02 08:30:00,NaN,1997,9,29,12,1997,10,2,6,2,9
58_40,27.07,2.99,28.5,19,9.5,NaN,0,837093,837149,HPB,81,1998-09-30 10:00:00,1998-10-01 14:00:00,NaN,1998,9,30,12,1998,10,1,12,1,6
59_40,50.48,4.89,35.5,0,22,NaN,0,853650,853720,HPB,81,1999-09-10 08:30:00,1999-09-11 19:30:00,NaN,1999,9,10,6,1999,9,11,18,3,8
60_40,46.555,2.54,93,16,32.5,NaN,0,873701,873886,HPB,81,2000-11-01 02:00:00,2000-11-04 22:30:00,NaN,2000,11,1,0,2000,11,5,0,2,6
61_40,25.835,3.59,20.5,0,0,NaN,0,889280,889320,HPB,81,2001-09-21 15:30:00,2001-09-22 11:30:00,NaN,2001,9,21,18,2001,9,22,12,2,9
62_40,35.815,1.87,95.5,0,0,NaN,0,889656,889846,HPB,81,2001-09-29 11:30:00,2001-10-03 10:30:00,NaN,2001,9,29,12,2001,10,3,12,2,9
63_40,36.385,2.9,38.5,14.5,19.5,NaN,0,907441,907517,HPB,81,2002-10-05 00:00:00,2002-10-06 14:00:00,NaN,2002,10,5,0,2002,10,6,12,3,9
64_37,25.64,3.37,50,0,0,NaN,0,922261,922360,HPB,81,2003-08-09 18:00:00,2003-08-11 19:30:00,NaN,2003,8,9,18,2003,8,11,18,1,2
65_36,20.95,1.26,42.5,0,0,NaN,0,922523,922607,HPB,81,2003-08-15 05:00:00,2003-08-16 23:00:00,NaN,2003,8,15,6,2003,8,17,0,1,2
66_32,24.385,2.05,63.5,0,0,NaN,0,940198,940324,HPB,81,2004-08-17 10:30:00,2004-08-20 01:30:00,NaN,2004,8,17,12,2004,8,20,0,2,8
67_31,74.74,3.96,84,9,35,NaN,0,940467,940634,HPB,81,2004-08-23 01:00:00,2004-08-26 12:30:00,NaN,2004,8,23,0,2004,8,26,12,2,8
68_26,22.305,3.11,119.5,0,0,NaN,0,962163,962401,HPB,81,2005-11-18 01:00:00,2005-11-23 00:00:00,NaN,2005,11,18,0,2005,11,23,0,1,4
69_18,65.565,8.23,42.5,27.5,15,NaN,0,974667,974751,HPB,81,2006-08-05 13:00:00,2006-08-07 07:00:00,NaN,2006,8,5,12,2006,8,7,6,1,8
70_14,32.91,4.9,43.5,0,0,NaN,0,995693,995779,HPB,81,2007-10-17 14:00:00,2007-10-19 09:00:00,NaN,2007,10,17,12,2007,10,19,12,1,9
71_13,51.495,4.59,50.5,0,0,NaN,0,1028071,1028171,HPB,81,2009-08-22 03:00:00,2009-08-24 05:00:00,NaN,2009,8,22,6,2009,8,24,6,1,8
72_8,28.335,2.44,24.5,0,0,NaN,0,1049311,1049359,HPB,81,2010-11-07 15:00:00,2010-11-08 15:00:00,NaN,2010,11,7,18,2010,11,8,18,2,2
73_6,33.225,1.53,133,0,28,NaN,0,1049688,1049953,HPB,81,2010-11-15 11:30:00,2010-11-21 00:00:00,NaN,2010,11,15,12,2010,11,21,0,2,2
1_41,62.94,7.86,47,28,19,NaN,0,11687,11780,HPB,82,1951-09-01 11:00:00,1951-09-03 09:30:00,NaN,1951,9,1,12,1951,9,3,12,3,9
2_41,93.305,3.13,76,0,4,NaN,0,47208,47359,HPB,82,1953-09-10 11:30:00,1953-09-13 15:00:00,NaN,1953,9,10,12,1953,9,13,18,2,2
3_41,25.98,3.29,40,0,0,NaN,0,82505,82584,HPB,82,1955-09-15 20:00:00,1955-09-17 11:30:00,NaN,1955,9,15,18,1955,9,17,12,3,1
4_41,25.995,2.33,47,0,0,NaN,0,82751,82844,HPB,82,1955-09-20 23:00:00,1955-09-22 21:30:00,NaN,1955,9,21,0,1955,9,23,0,3,1
5_41,29.42,2.96,45.5,24.5,21,NaN,0,98642,98732,HPB,82,1956-08-17 00:30:00,1956-08-18 21:30:00,NaN,1956,8,17,0,1956,8,19,0,2,9
6_41,149.145,4.95,159,0,99.5,NaN,0,99044,99361,HPB,82,1956-08-25 09:30:00,1956-09-01 00:00:00,NaN,1956,8,25,12,1956,9,1,0,2,9
7_41,34.675,3.39,28.5,0,0,NaN,0,120200,120256,HPB,82,1957-11-09 03:30:00,1957-11-10 07:30:00,NaN,1957,11,9,6,1957,11,10,6,3,8
8_41,28.285,3.69,17.5,14,3.5,NaN,0,134772,134806,HPB,82,1958-09-08 17:30:00,1958-09-09 10:30:00,NaN,1958,9,8,18,1958,9,9,12,1,8
9_41,67.255,4.34,53,47,6,NaN,0,150713,150818,HPB,82,1959-08-06 20:00:00,1959-08-09 00:30:00,NaN,1959,8,6,18,1959,8,9,0,3,9
10_41,31.91,4.69,32,0,11,NaN,0,169572,169635,HPB,82,1960-09-02 17:30:00,1960-09-04 01:00:00,NaN,1960,9,2,18,1960,9,4,0,2,5
11_41,24.375,1.56,26,0,26,NaN,0,169657,169708,HPB,82,1960-09-04 12:00:00,1960-09-05 13:30:00,NaN,1960,9,4,12,1960,9,5,12,2,5
12_41,38.025,4.56,49,0,0,NaN,0,185768,185865,HPB,82,1961-08-06 03:30:00,1961-08-08 04:00:00,NaN,1961,8,6,6,1961,8,8,6,2,6
13_41,136.935,5.88,102.5,0,0,NaN,0,185963,186167,HPB,82,1961-08-10 05:00:00,1961-08-14 11:00:00,NaN,1961,8,10,6,1961,8,14,12,2,6
14_41,53.7,4.37,72,0,0,NaN,0,204740,204883,HPB,82,1962-09-05 09:30:00,1962-09-08 09:00:00,NaN,1962,9,5,12,1962,9,8,12,2,3
15_41,30.685,2.13,39.5,25,14.5,NaN,0,223063,223141,HPB,82,1963-09-22 03:00:00,1963-09-23 18:00:00,NaN,1963,9,22,6,1963,9,23,18,2,8
16_41,29.305,1.82,81.5,0,0,NaN,0,243810,243972,HPB,82,1964-11-27 08:30:00,1964-11-30 17:30:00,NaN,1964,11,27,6,1964,11,30,18,3,4
17_41,36.205,4.35,46,0,25,NaN,0,257954,258045,HPB,82,1965-09-18 00:30:00,1965-09-19 22:00:00,NaN,1965,9,18,0,1965,9,20,0,2,8
18_41,59.575,2.7,82.5,0,0,NaN,0,258460,258624,HPB,82,1965-09-28 13:30:00,1965-10-01 23:30:00,NaN,1965,9,28,12,1965,10,2,0,2,8
19_41,150.755,7.3,75.5,20.5,33,NaN,0,276885,277035,HPB,82,1966-10-17 10:00:00,1966-10-20 13:00:00,NaN,1966,10,17,12,1966,10,20,12,2,9
20_41,124.195,2.97,255.5,1,29,NaN,0,292675,293185,HPB,82,1967-09-11 09:00:00,1967-09-22 00:00:00,NaN,1967,9,11,12,1967,9,22,0,2,6
21_41,22.525,1.79,34,0,0,NaN,0,305428,305495,HPB,82,1968-06-03 01:30:00,1968-06-04 11:00:00,NaN,1968,6,3,0,1968,6,4,12,1,6
22_41,24.475,2.96,42.5,0,0,NaN,0,305803,305887,HPB,82,1968-06-10 21:00:00,1968-06-12 15:00:00,NaN,1968,6,11,0,1968,6,12,18,1,6
23_41,31.555,1.79,77,0,0,NaN,0,329305,329458,HPB,82,1969-10-13 12:00:00,1969-10-16 16:30:00,NaN,1969,10,13,12,1969,10,16,18,2,8
24_41,35.82,4.1,37.5,0,0,NaN,0,345799,345873,HPB,82,1970-09-22 03:00:00,1970-09-23 16:00:00,NaN,1970,9,22,6,1970,9,23,18,3,8
25_41,39.62,2.7,40.5,7.5,20.5,NaN,0,346195,346275,HPB,82,1970-09-30 09:00:00,1970-10-02 01:00:00,NaN,1970,9,30,12,1970,10,2,0,3,8
26_41,48.93,2.62,105,0,0,NaN,0,359225,359434,HPB,82,1971-06-28 20:00:00,1971-07-03 04:30:00,NaN,1971,6,28,18,1971,7,3,6,2,6
27_41,50.795,3.83,94,0,0,NaN,0,378726,378913,HPB,82,1972-08-08 02:30:00,1972-08-12 00:00:00,NaN,1972,8,8,0,1972,8,12,0,2,10
28_41,20.065,3.06,17,0,0,NaN,0,399732,399765,HPB,82,1973-10-19 17:30:00,1973-10-20 10:00:00,NaN,1973,10,19,18,1973,10,20,12,1,2
29_41,20.43,2.42,36.5,5,24.5,NaN,0,414394,414466,HPB,82,1974-08-21 04:30:00,1974-08-22 16:30:00,NaN,1974,8,21,6,1974,8,22,18,2,2
30_41,66.52,5.28,46.5,0,46.5,NaN,0,414906,414998,HPB,82,1974-08-31 20:30:00,1974-09-02 18:30:00,NaN,1974,8,31,18,1974,9,2,18,2,2
31_41,50.17,3.48,71,21,39.5,NaN,0,429538,429679,HPB,82,1975-07-02 16:30:00,1975-07-05 15:00:00,NaN,1975,7,2,18,1975,7,5,18,2,2
32_41,32.915,2.17,71,22,37,NaN,0,469001,469142,HPB,82,1977-10-01 20:00:00,1977-10-04 18:30:00,NaN,1977,10,1,18,1977,10,4,18,2,9
33_41,33.04,3.8,108,0,0,NaN,0,488832,489047,HPB,82,1978-11-18 23:30:00,1978-11-23 11:00:00,NaN,1978,11,19,0,1978,11,23,12,1,2
34_41,67.005,4.03,104,0,15,NaN,0,504553,504760,HPB,82,1979-10-12 12:00:00,1979-10-16 19:30:00,NaN,1979,10,12,12,1979,10,16,18,2,9
35_41,20.905,3.6,15,11.5,3.5,NaN,0,519035,519064,HPB,82,1980-08-09 05:00:00,1980-08-09 19:30:00,NaN,1980,8,9,6,1980,8,9,18,3,7
36_41,20.36,1.76,35,0,35,NaN,0,519242,519311,HPB,82,1980-08-13 12:30:00,1980-08-14 23:00:00,NaN,1980,8,13,12,1980,8,15,0,3,7
37_41,34.265,3.37,50,0,0,NaN,0,519482,519581,HPB,82,1980-08-18 12:30:00,1980-08-20 14:00:00,NaN,1980,8,18,12,1980,8,20,12,3,7
38_41,28.875,2.68,27,0,0,NaN,0,519604,519657,HPB,82,1980-08-21 01:30:00,1980-08-22 04:00:00,NaN,1980,8,21,0,1980,8,22,6,3,7
39_41,27.755,4.08,44,0,38.5,NaN,0,538169,538256,HPB,82,1981-09-11 20:00:00,1981-09-13 15:30:00,NaN,1981,9,11,18,1981,9,13,18,1,6
40_41,35.315,4.83,30.5,0,0,NaN,0,556018,556078,HPB,82,1982-09-18 16:30:00,1982-09-19 22:30:00,NaN,1982,9,18,18,1982,9,20,0,3,5
41_41,87.6,6.71,45.5,0,0,NaN,0,571964,572054,HPB,82,1983-08-16 21:30:00,1983-08-18 18:30:00,NaN,1983,8,17,0,1983,8,18,18,3,5
42_41,45.16,4.44,119,0,16,NaN,0,593233,593470,HPB,82,1984-11-02 00:00:00,1984-11-06 22:30:00,NaN,1984,11,2,0,1984,11,7,0,2,2
43_41,21.025,2.16,35.5,0,0,NaN,0,605131,605201,HPB,82,1985-07-07 21:00:00,1985-07-09 08:00:00,NaN,1985,7,8,0,1985,7,9,6,2,6
44_41,22.505,3.87,14.5,0,0,NaN,0,626827,626855,HPB,82,1986-10-02 21:00:00,1986-10-03 11:00:00,NaN,1986,10,3,0,1986,10,3,12,2,6
45_41,20.76,2.18,20,0,0,NaN,0,626899,626938,HPB,82,1986-10-04 09:00:00,1986-10-05 04:30:00,NaN,1986,10,4,12,1986,10,5,6,2,6
46_41,26.94,2.79,29.5,0,0,NaN,0,646112,646170,HPB,82,1987-11-08 15:30:00,1987-11-09 20:30:00,NaN,1987,11,8,18,1987,11,9,18,3,2
47_41,48.93,6.53,69,18.5,56.5,NaN,0,659638,659775,HPB,82,1988-08-16 10:30:00,1988-08-19 07:00:00,NaN,1988,8,16,12,1988,8,19,6,2,7
48_41,85.2,5,73.5,0,9,NaN,0,660037,660183,HPB,82,1988-08-24 18:00:00,1988-08-27 19:00:00,NaN,1988,8,24,18,1988,8,27,18,2,7
49_41,38.37,3.71,32,0,7.5,NaN,0,692087,692150,HPB,82,1990-06-23 11:00:00,1990-06-24 18:30:00,NaN,1990,6,23,12,1990,6,24,18,3,9
50_41,38.785,4.11,56.5,4,16,NaN,0,714816,714928,HPB,82,1991-10-09 23:30:00,1991-10-12 07:30:00,NaN,1991,10,10,0,1991,10,12,6,3,8
51_41,20.975,3.16,24.5,0,0,NaN,0,730622,730670,HPB,82,1992-09-03 06:30:00,1992-09-04 06:30:00,NaN,1992,9,3,6,1992,9,4,6,3,6
52_41,50.065,3.4,60.5,0,0,NaN,0,730699,730819,HPB,82,1992-09-04 21:00:00,1992-09-07 09:00:00,NaN,1992,9,5,0,1992,9,7,12,3,6
53_41,27.7,5.11,47.5,0,0,NaN,0,750442,750536,HPB,82,1993-10-21 04:30:00,1993-10-23 03:30:00,NaN,1993,10,21,6,1993,10,23,6,1,8
54_41,40.125,5.23,91,0,0,NaN,0,750827,751008,HPB,82,1993-10-29 05:00:00,1993-11-01 23:30:00,NaN,1993,10,29,6,1993,11,2,0,1,8
55_41,42.065,7.07,62,18.5,15.5,NaN,0,763290,763413,HPB,82,1994-07-15 20:30:00,1994-07-18 10:00:00,NaN,1994,7,15,18,1994,7,18,12,1,6
56_41,54.325,5.44,132,0,0,NaN,0,782220,782483,HPB,82,1995-08-14 05:30:00,1995-08-19 17:00:00,NaN,1995,8,14,6,1995,8,19,18,3,7
57_41,26.785,3.45,26,0,0,NaN,0,802884,802935,HPB,82,1996-10-17 17:30:00,1996-10-18 19:00:00,NaN,1996,10,17,18,1996,10,18,18,1,2
58_41,127.855,5.98,84,0,0,NaN,0,818223,818390,HPB,82,1997-09-02 07:00:00,1997-09-05 18:30:00,NaN,1997,9,2,6,1997,9,5,18,2,6
59_41,21.995,3.41,22,0,0,NaN,0,834885,834928,HPB,82,1998-08-15 10:00:00,1998-08-16 07:30:00,NaN,1998,8,15,12,1998,8,16,6,3,7
60_41,34.93,2.99,89.5,0,0,NaN,0,835383,835561,HPB,82,1998-08-25 19:00:00,1998-08-29 12:00:00,NaN,1998,8,25,18,1998,8,29,12,3,7
61_41,33.325,2.82,72,35,37,NaN,0,851587,851730,HPB,82,1999-07-29 09:00:00,1999-08-01 08:30:00,NaN,1999,7,29,12,1999,8,1,6,2,9
